word,part_of_speech,meaning,example,example_meaning,definition,ID,pronunciation
delinquency,noun,tội,"That includes juvenile delinquency , due process for children involved in the criminal justice system, appropriate representation, and effective rehabilitative services; care and protection for children in state care; ensuring education for all children regardless of their race, gender, sexual orientation, gender identity, national origin, religion, disability, color, ethnicity, or other characteristics, and; health care and advocacy.","Nó gồm tình trạng phạm tội vị thành niên, quy trình pháp lý cho trẻ em liên quan tới hệ thống pháp lý hình sự, sự đại diện thích hợp và các dịch vụ phục hồi hiệu quả; chăm sóc hay bảo vệ trẻ em trong các trung tâm chăm sóc của nhà nước; đảm bảo giáo dục cho mọi đứa trẻ không cần biết tới nguồn gốc, nòi giống, giới tính, sự tàn tật, hay khả năng, và chăm sóc sức khoẻ và biện hộ pháp lý.",misconduct,13229,/dɪˈliŋkwɪnsi/
kenning,noun,kenning,"Now, Ken .","Làm đi, Ken .",(obsolete) Sight; view; a distant view at sea.,13230,/ˈkɛnɪŋ/
attachment,noun,phụ tùng,"Over about a month, he graduated me from cardboard to roofing aluminum called flashing and still, one of my all-time favorite attachment materials, POP rivets.","Qua khoảng một tháng, ông bảo tôi lấy mấy tấm lợp mái làm bằng nhôm nhôm gọi là tôn và vẫn là một trong những vật liệu phụ tùng tôi luôn yêu thích những cái đinh tán.",The process or means by which something is physically attached.,13231,/əˈtætʃmənt/
victimize,verb,bịp,Tricksters and confidence men deceive victims to get their money.,Những kẻ lừa bịp và những kẻ hứa dối lường gạt nạn nhân để lấy tiền.,To punish someone unjustly.,13232,/ˈvɪktəmaɪz/
perception,noun,tri giác,"Taste and smell irritations, delayed perception .",Sự kích thích tri giác làm giảm quá trình nhận thức.,Conscious understanding of something.,13233,/pəˈsɛpʃən/
trample,Verb,giẫm đạp,"If they didn't like each other, we could all get trampled to death.","Nếu họ không thích nhau, chúng ta sẽ đều bị giẫm đạp cho đến chết.",(transitive) To crush and destroy something by walking on it.,13234,/ˈtræmpəl/
grasp,verb,nắm,"Daladier had already been made aware in 1932, through German rivals to Hitler, that Krupp was manufacturing heavy artillery and the Deuxième Bureau had a grasp of the scale of German military preparations, but lacked hard intelligence of their hostile intentions.","Năm 1932, ông biết các đối thủ Đức đến Hitler rằng Krupps đang chế tạo pháo hạng nặng và Văn phòng Deuxieme đã nắm bắt được quy mô chuẩn bị quân sự của Đức, nhưng thiếu thông tin cứng rắn về ý định thù địch của họ.","To grip; to take hold, particularly with the hand.",13235,/grɑsp/
fulfill,verb,hoàn thành,I will grind whatever grist the mill requires to fulfil my duty.,Tôi sẽ xay trong cối xay những gì cần thiết để hoàn thành nghĩa vụ.,(archaic) To fill full; fill to the utmost capacity; fill up.,13236,/fʊlˈfɪl/
igloo,noun,lều tuyết,I was imagining a massive igloo with all kinds of scientists doing experiments.,Tôi đã tưởng tượng rằng nó phải là 1 cái lều tuyết to lớn với các nhà khoa học đang thực hiện những thí nghiệm.,"A dome-shaped Inuit shelter, constructed of blocks cut from snow.",13237,/ˈɪglu/
epicurean,adjective,E-pi-cua,"7 Greek philosophers, such as the Epicureans , believed in gods but viewed them as being too far from the earth to have any interest in man or be affected by his feelings.","7 Các triết gia Hy Lạp, như là những người theo thuyết E - pi - cua (Epicureans), tin tưởng nơi các thần, nhưng cho rằng các thần đó cách trái đất quá xa đến độ không chú ý gì đến loài người hoặc là không bị ảnh hưởng bởi cảm giác của loài người.","pursuing pleasure, especially in reference to food or comfort",13238,/ˌɛpəkjʊˈriən/
precocity,noun,sự sớm biết,"This breed was produced by crossbreeding between wild Arkhar rams and Precoce merino ewes in the Kurmektinski research station between 1934 to 1949 in Kazakhstan, then in the Soviet Union.","Giống cừu này được lai tạo và sản xuất bởi việc lai giữa những con cừu đực Arkhar hoang dã và con cừu cái Merino Precoce trong trạm nghiên cứu Kurmektinski giữa những năm 1934-1949 ở Kazakhstan, mà sau đó là ở Liên Xô.",The state of being precocious,13239,/prɪˈkɑsɪti/
liniment,verb,bóp,Rubbed liniment on her scars.,Thoa dầu lên các vết sẹo của bà.,"A topical medical preparation intended to be rubbed into the skin with friction, such as to relieve symptoms of arthritis.",13240,/ˈlɪnəmənt/
wastrel,noun,lưu manh,You've brought me the wrong wastrel .,Các ngươi mang cho ta tên lưu manh không đúng rồi.,"(dated) One who is profligate, who wastes time or resources extravagantly.",13241,/ˈweɪstrəl/
kelpie,noun,chó kenpi,"The etymology of the Scots word kelpie is uncertain, but it may be derived from the Gaelic calpa or cailpeach, meaning ""heifer"" or ""colt"".","Từ nguyên của từ Scelp từ kelpie là không chắc chắn, nhưng nó có thể được bắt nguồn từ Gaelic calpa hoặc Cailpeach, có nghĩa là con bê (""heifer"") hoặc ""colt"".",An Australian breed of sheepdog.,13242,/ˈkɛlpi/
midriff,noun,cơ hoành,"Remember, it's formal, so no exposed midriffs .","Đừng quên, đây là sự kiện trang trọng, nên không cần hở xương sườn gì đâu nhé .","The mid section of the human torso, from below the chest to above the waist",13243,/ˌmɪˈdrɪf/
fop,noun,công tử bột,It's a brother's duty to introduce his sister to some other type than fops .,Trách nhiệm của một người anh là giới thiệu em gái mình với ai đó khác hơn mấy chàng công tử bột .,A vain man; a dandy.,13244,/fɑp/
parvenu,adjective,kẻ mới phất,"A parvenu , a lazy bastard.","Kẻ tự phụ, lười biếng.","A person who has risen, climbed up, or has been promoted to a higher social class, especially through acquisition of wealth, rights, or political authority but has not gained social acceptance by those within that new class.",13245,/ˌˈpɑrvəˌˈnu/
terror,noun,nỗi khiếp sợ sự khủng bố,TERRORISM !,KHỦNG BỐ !,"(uncountable) intense dread, fright, or fear.",13246,/ˈtɛrə/
slender,adjective,mỏng,"One is the longirostrine bauplan, with long, slender wings, needle-like dentition and long, thin jaws, represented by species akin to Rhamphorhynchus itself or Dorygnathus.","Một là có cấu trúc cơ thể mỏ dài, với đôi cánh dài, mảnh mai, răng giống như kim và hàm dài, mỏng , đại diện bởi các loài giống như Rhamphorhynchus hoặc Dorygnathus.",Thin; slim.,13247,/ˈslɛndə/
acquainted,adjective,quen,"When you met us the other day, we had just been forming a new acquaintance .","Khi anh gặp chúng tôi hôm nọ, chúng tôi vừa quen biết thêm một người.",Personally known; familiar.,13248,/əˈkweɪntɪd/
compartment,noun,gian,You called me Lisa in the avionics compartment .,Anh nói về Lisa đi. Trong gian phòng chật hẹp này.,"A room, or section, or chamber",13249,/kəmˈpɑtmənt/
troll,noun,quỷ khổng lồ,Not many first-year students could take on a troll and live to tell the tale.,Không nhiều học sinh năm nhất có thể đọ sức với quỷ khổng lồ như vậy mà còn sống để kể lại chuyện đâu.,"(fantasy) A supernatural being of varying size, now especially a grotesque humanoid creature living in caves or hills or under bridges. [from early 17th c.]",13250,/trəʊl/
stimulant,noun,chất kích thích,He must take stimulants and diuretics to improve his lung efficiency.,Nó cần dùng chất kích thích và thuốc lợi tiểu để tăng hoạt động của phổi,A substance that acts to increase physiological or nervous activity in the body.,13251,/ˈstɪmjulɪnt/
mediocrity,noun,người thường,Big mediocrity in every way.,Đánh giá kiểu gì thì cũng là một sự thất vọng lớn.,(now rare) The quality of being intermediate between two extremes; a mean.,13252,/midiˈɒkrɪti/
putrefaction,noun,sự sa đoạ,Putrefaction .,Putrifaction .,"the act of causing to rot; the anaerobic splitting of proteins by bacteria and fungi with the formation of malodorous, incompletely oxidized products",13253,/ˈpjutrəˌfækʃən/
victual,noun,thức ăn,"Victuals , coin, clothing or your life.","Thức ăn , tiền, trang phục hoặc là cái mạng cô.",Food fit for human consumption.,13254,/ˈvɪdl/
rationality,noun,sự hợp lý,I thought he liked rationality .,Tôi tưởng ông ta thích sự hợp lý .,the quality or state of being rational; agreement with reason; possession of reason; due exercise of reason; reasonableness.,13255,/ræʃɪˈnæliti/
terminate,verb,chấm dứt,If they terminate operation now they will be wasting these.,"Nếu bây giờ họ chấm dứt hành động, họ sẽ lãng phí cái này.","(transitive or intransitive, formal) To finish or end.",13256,/ˈtʌmɪneɪt/
sensor,noun,cảm biến,We have a problem with that drill pipe or with the sensor giving us a false reading.,Ta có vấn đề với ống khoan hoặc với cảm biến cho kết quả sai.,A device or organ that detects certain external stimuli and responds in a distinctive manner.,13257,/ˈsɛnsə/
censer,noun,lư hương,"Each one had his censer in his hand, and the perfumed cloud of incense was ascending.",+ Mỗi người cầm trên tay lư hương của mình và khói hương bay nghi ngút.,"An ornamental container for burning incense, especially during religious ceremonies.",13258,/ˈsɛnsər/
grandiloquence,noun,tính khoác lác,"Aramis, confident of Bazin’s resourcefulness, spoke grandiloquently in favor of his candidate.","Aramis tin tưởng ở sự khôn khéo của Bazin, ca tụng bốc trời ứng viên của mình.","lofty, pompous or bombastic speech or writing",13261,/grænˈdɪləkwəns/
dichotomous,adjective,lưỡng phân,"During the 18th century, systems of plant identification were developed comparable to dichotomous keys, where unidentified plants are placed into taxonomic groups (e.g. family, genus and species) by making a series of choices between pairs of characters.","Trong thế kỷ 18, hệ thống định danh thực vật được phát triển tương đương với khóa lưỡng phân , theo đó các thực vật chưa được định danh được xếp vào các nhóm phân loại học (như họ, chi và loài) bằng cách lập một loạt các lựa chọn giữa các cặp tính trạng.",Dividing or branching into two pieces.,13265,/daɪˈkɑdəməs/
alopecia,noun,sự rụng tóc,Another type of hair loss is called alopecia .,Một loại nữa làm tóc thưa đi được gọi là chứng rụng tóc .,Baldness.,13266,/æləʊˈpiʃə/
clerihew,noun,clerhew,"Bentley's first clerihew , published in 1905, was written about Sir Humphry Davy: Sir Humphry Davy Abominated gravy.",Bài thơ sau được coi là bài thơ theo thể Clerihew đầu tiên (một dạng thơ ngụ ngôn): Sir Humphry Davy Abominated gravy.,"A rhyme of four lines, usually regarding a person mentioned in the first line.",13267,/ˌklɛrəˈhju/
kitschy,adjective,"""Kitschy""",Because I like old things that are kitschy ?,Vỉ tôi thích mấy đồ bóng bảy đó sao ?,Having the nature of kitsch.,13268,/ˈkɪtʃi/
physicist,noun,nhà vật lý,"1914) 1995 – Eugene Wigner, Hungarian-American physicist and mathematician, Nobel Prize laureate (b.","1914) 1995 - Eugene Wigner, nhà vật lý và toán học người Hungary gốc Mỹ, đoạt giải Nobel Vật lý (s.","A person whose occupation specializes in the science of physics, especially at a professional level.",13270,/ˈfɪzəsɪst/
blacklist,verb,danh sách đen,I understand you have a blacklist of violent men.,Tôi hiểu bà có một danh sách đen của những tên bạo lực.,A list or collection of people or entities to be shunned or banned.,13272,/ˈblæklɪst/
ram,verb,cừu đực,"The rams of this breed are horned, and the ewes are not.",Cừu đực thuộc giống này có sừng còn cừu cái thì không.,A battering ram; a heavy object used for breaking through doors.,13273,/ræm/
doe,noun,nai cái,By the gazelles+ and the does of the field:,Nhân danh linh dương+ và nai cái đồng nội:,Archaic spelling of do.,13274,/dəʊ/
orb,verb,quả cầu,I don't see any orb that ought be on a tomb.,Tôi có thấy quả cầu trên ngôi mộ nào đâu.,A translucent sphere appearing in flash photography,13275,/ɔb/
nag,noun,ngựa,"But a miserable, horrid witch turned him into a nag .",Nhưng một phù thủy độc ác đã biến ông ấy thành con ngựa .,A small horse; a pony.,13276,/næg/
